id,Currency,Actual,Pred
0,AUD,20.56,21.627537
0,CAD,21.98,22.448196
0,EUR,32.29,32.94857
0,GBP,37.39,38.01475
0,HKD,3.422,3.5014868
0,JPY,0.2433,0.23409048
0,KRW,0.02286,0.023333564
0,USD,27.38,27.935627
1,AUD,19.45,19.185354
1,CAD,21.26,21.168495
1,EUR,30.66,30.901524
1,GBP,35.78,36.46679
1,HKD,3.404,3.4881506
1,JPY,0.2356,0.24958289
1,KRW,0.02181,0.022126365
1,USD,27.36,27.697601
2,AUD,20.59,20.286766
2,CAD,22.04,21.680481
2,EUR,31.64,31.357765
2,GBP,37.15,37.233658
2,HKD,3.42,3.5025604
2,JPY,0.2355,0.24259529
2,KRW,0.02206,0.022201188
2,USD,27.41,27.767681
3,AUD,20.66,20.375734
3,CAD,22.83,21.216871
3,EUR,33.44,32.678364
3,GBP,37.47,36.8674
3,HKD,3.803,3.5629222
3,JPY,0.2776,0.26494437
3,KRW,0.02423,0.02348994
3,USD,30.595,28.310032
4,AUD,20.12,20.029707
4,CAD,22.07,22.324947
4,EUR,31.84,32.22835
4,GBP,36.2,37.078632
4,HKD,3.783,3.7683465
4,JPY,0.2239,0.26187027
4,KRW,0.02218,0.024186343
4,USD,30.31,30.183096
5,AUD,20.54,21.20267
5,CAD,23.29,23.158615
5,EUR,33.77,33.258938
5,GBP,39.18,38.53814
5,HKD,3.886,3.873363
5,JPY,0.2115,0.2307272
5,KRW,0.02274,0.02236204
5,USD,31.11,30.933842
6,AUD,20.24,20.754217
6,CAD,23.01,23.27302
6,EUR,33.22,33.337067
6,GBP,38.36,38.852848
6,HKD,3.81,3.7979639
6,JPY,0.2064,0.22410706
6,KRW,0.022,0.02232154
6,USD,30.67,30.375158
7,AUD,20.33,21.55308
7,CAD,21.99,22.337849
7,EUR,31.41,33.472717
7,GBP,36.85,38.717216
7,HKD,3.423,3.5205426
7,JPY,0.2347,0.25644583
7,KRW,0.02181,0.023592915
7,USD,27.46,28.13927
8,AUD,20.56,19.9398
8,CAD,22.53,22.11902
8,EUR,30.75,31.050295
8,GBP,35.86,36.48489
8,HKD,3.607,3.6573248
8,JPY,0.2231,0.24449149
8,KRW,0.02165,0.021226857
8,USD,29.14,29.167383
9,AUD,20.08,20.243198
9,CAD,22.42,22.637302
9,EUR,32.09,31.708332
9,GBP,37.0,37.07704
9,HKD,3.762,3.7871664
9,JPY,0.2114,0.23484536
9,KRW,0.02188,0.021388289
9,USD,30.325,30.363117
10,AUD,20.46,21.109816
10,CAD,21.88,22.561193
10,EUR,32.18,33.66079
10,GBP,37.55,39.40459
10,HKD,3.448,3.542576
10,JPY,0.2441,0.24693017
10,KRW,0.02263,0.023645364
10,USD,27.6,28.346565
11,AUD,19.41,19.205523
11,CAD,21.26,21.609184
11,EUR,30.48,31.311823
11,GBP,36.28,37.05358
11,HKD,3.392,3.689001
11,JPY,0.2297,0.26296976
11,KRW,0.02126,0.02294119
11,USD,27.285,29.227285
12,AUD,20.71,19.904686
12,CAD,22.11,22.111916
12,EUR,31.96,31.66402
12,GBP,35.81,36.95859
12,HKD,3.719,3.768734
12,JPY,0.2272,0.24566722
12,KRW,0.02276,0.02077479
12,USD,29.865,30.131126
13,AUD,19.92,20.20062
13,CAD,22.06,22.16025
13,EUR,32.41,32.378357
13,GBP,36.64,36.927807
13,HKD,3.722,3.7327416
13,JPY,0.2212,0.23675314
13,KRW,0.02136,0.022174677
13,USD,30.045,29.895329
14,AUD,19.49,20.407492
14,CAD,21.22,22.26245
14,EUR,30.62,32.42449
14,GBP,35.77,38.379974
14,HKD,3.404,3.539599
14,JPY,0.2351,0.24381973
14,KRW,0.0217,0.0230851
14,USD,27.375,28.377378
15,AUD,20.47,20.287224
15,CAD,22.06,22.356241
15,EUR,31.78,32.760384
15,GBP,36.71,38.40585
15,HKD,3.784,3.754696
15,JPY,0.2162,0.26866013
15,KRW,0.02169,0.02357721
15,USD,30.225,29.977839
16,AUD,20.45,20.564816
16,CAD,22.68,22.126915
16,EUR,30.27,30.844055
16,GBP,35.73,35.490864
16,HKD,3.629,3.6771822
16,JPY,0.2204,0.23306672
16,KRW,0.02161,0.021930546
16,USD,29.315,29.225195
17,AUD,19.58,20.382465
17,CAD,21.23,22.364819
17,EUR,30.39,32.100216
17,GBP,36.18,38.426224
17,HKD,3.386,3.5333288
17,JPY,0.2287,0.2389451
17,KRW,0.02134,0.022537868
17,USD,27.215,28.232344
18,AUD,20.53,20.224049
18,CAD,22.46,21.947458
18,EUR,32.67,32.010345
18,GBP,38.04,36.783207
18,HKD,3.706,3.7262352
18,JPY,0.2655,0.2638555
18,KRW,0.0242,0.022229329
18,USD,29.68,29.631048
19,AUD,19.89,20.504797
19,CAD,22.36,21.466156
19,EUR,32.69,33.04182
19,GBP,38.58,36.349846
19,HKD,3.739,3.6378698
19,JPY,0.2693,0.27091548
19,KRW,0.02361,0.0232092
19,USD,29.86,29.004974
20,AUD,19.77,19.060776
20,CAD,22.71,22.216883
20,EUR,30.34,30.938452
20,GBP,34.85,36.362167
20,HKD,3.907,3.8819516
20,JPY,0.207,0.25725514
20,KRW,0.02053,0.022346754
20,USD,31.495,30.997925
21,AUD,21.17,23.061823
21,CAD,22.2,23.941017
21,EUR,32.75,35.09805
21,GBP,37.55,40.747078
21,HKD,3.44,3.6269672
21,JPY,0.2461,0.24195477
21,KRW,0.02311,0.02345952
21,USD,27.535,28.951729
22,AUD,20.5,20.068224
22,CAD,22.91,22.380608
22,EUR,33.17,32.618446
22,GBP,38.06,37.11319
22,HKD,3.744,3.729556
22,JPY,0.2722,0.2727597
22,KRW,0.02431,0.022910947
22,USD,30.17,29.759308
23,AUD,20.61,20.728926
23,CAD,21.49,22.323614
23,EUR,33.31,32.96491
23,GBP,36.89,38.268517
23,HKD,3.557,3.4805524
23,JPY,0.2665,0.25565597
23,KRW,0.02426,0.023927823
23,USD,28.39,27.815966
24,AUD,20.1,20.101553
24,CAD,21.6,20.969824
24,EUR,32.19,32.062923
24,GBP,36.98,36.590675
24,HKD,3.453,3.4622288
24,JPY,0.2457,0.25958097
24,KRW,0.02256,0.024237275
24,USD,27.665,27.465345
25,AUD,20.15,19.831522
25,CAD,22.51,21.946898
25,EUR,30.54,30.16403
25,GBP,35.29,35.39722
25,HKD,3.617,3.6586332
25,JPY,0.21,0.23888314
25,KRW,0.02134,0.021370597
25,USD,29.21,29.15118
26,AUD,21.38,21.634083
26,CAD,22.94,23.117634
26,EUR,31.09,31.464083
26,GBP,36.99,37.734425
26,HKD,3.567,3.6279173
26,JPY,0.2188,0.22891483
26,KRW,0.0219,0.022339463
26,USD,28.805,29.082045
27,AUD,20.41,20.025782
27,CAD,22.9,21.610899
27,EUR,32.98,32.115204
27,GBP,36.96,37.297268
27,HKD,3.802,3.4780984
27,JPY,0.2772,0.25398067
27,KRW,0.02414,0.022691095
27,USD,30.635,27.714315
28,AUD,19.65,19.958408
28,CAD,22.07,22.488945
28,EUR,32.21,32.499527
28,GBP,36.78,37.535522
28,HKD,3.769,3.771487
28,JPY,0.2111,0.25863692
28,KRW,0.02146,0.02409263
28,USD,30.345,30.226639
29,AUD,20.27,20.927786
29,CAD,22.74,23.330807
29,EUR,30.44,31.434832
29,GBP,34.32,35.437393
29,HKD,3.888,3.9655526
29,JPY,0.2108,0.23986813
29,KRW,0.02045,0.020338621
29,USD,31.35,31.818874
30,AUD,21.22,22.225185
30,CAD,22.67,23.113426
30,EUR,33.26,34.21831
30,GBP,38.38,39.791985
30,HKD,3.441,3.5222645
30,JPY,0.2476,0.24754032
30,KRW,0.02306,0.023701629
30,USD,27.535,28.16976
31,AUD,20.15,19.394047
31,CAD,22.45,21.211016
31,EUR,30.47,31.53966
31,GBP,35.13,36.64579
31,HKD,3.638,3.4772758
31,JPY,0.2094,0.25392425
31,KRW,0.02112,0.021839699
31,USD,29.39,27.600077
32,AUD,19.15,19.527235
32,CAD,20.87,22.060602
32,EUR,31.87,31.990236
32,GBP,35.28,36.080994
32,HKD,3.709,3.7340236
32,JPY,0.2698,0.2513781
32,KRW,0.02245,0.021129463
32,USD,29.585,29.923616
33,AUD,19.98,20.916904
33,CAD,21.54,22.164427
33,EUR,31.93,33.543922
33,GBP,36.96,39.426964
33,HKD,3.409,3.526931
33,JPY,0.242,0.25379324
33,KRW,0.0222,0.024097886
33,USD,27.335,28.01477
34,AUD,19.59,18.966166
34,CAD,21.3,20.87127
34,EUR,32.52,31.207922
34,GBP,35.79,34.504955
34,HKD,3.716,3.7057
34,JPY,0.2708,0.27251387
34,KRW,0.02255,0.02104947
34,USD,29.62,29.388977
35,AUD,18.96,20.285627
35,CAD,20.83,21.988327
35,EUR,31.53,31.527761
35,GBP,35.33,37.396084
35,HKD,3.701,3.4891431
35,JPY,0.2699,0.24874142
35,KRW,0.02256,0.02288907
35,USD,29.5,27.809628
36,AUD,20.55,21.069675
36,CAD,21.96,21.671114
36,EUR,32.35,32.306206
36,GBP,37.61,37.247272
36,HKD,3.448,3.4978375
36,JPY,0.2443,0.25855657
36,KRW,0.0227,0.024090946
36,USD,27.59,27.635035
37,AUD,19.76,19.11896
37,CAD,22.14,21.360558
37,EUR,31.72,30.57716
37,GBP,37.95,35.879337
37,HKD,3.705,3.6735516
37,JPY,0.2641,0.26661822
37,KRW,0.02361,0.022013811
37,USD,29.6,29.174475
38,AUD,19.99,20.242197
38,CAD,21.72,22.135181
38,EUR,31.5,32.44347
38,GBP,36.74,38.812443
38,HKD,3.433,3.5237894
38,JPY,0.2418,0.25363275
38,KRW,0.02174,0.02358498
38,USD,27.545,28.098263
39,AUD,19.68,18.29448
39,CAD,21.36,20.461866
39,EUR,30.84,30.988708
39,GBP,36.72,35.394627
39,HKD,3.41,3.6841736
39,JPY,0.2328,0.27127287
39,KRW,0.02164,0.021835152
39,USD,27.425,29.18872
40,AUD,21.32,20.590124
40,CAD,21.72,21.761093
40,EUR,34.04,32.68947
40,GBP,37.47,37.66856
40,HKD,3.52,3.579266
40,JPY,0.2662,0.2557955
40,KRW,0.02428,0.022029027
40,USD,28.1,28.507048
41,AUD,20.2,20.3109
41,CAD,23.0,22.523018
41,EUR,33.78,32.71962
41,GBP,39.07,37.99085
41,HKD,3.904,3.9049096
41,JPY,0.2084,0.24689269
41,KRW,0.02231,0.022216594
41,USD,31.46,31.201519
42,AUD,19.4,20.870373
42,CAD,21.24,23.028318
42,EUR,30.68,33.39491
42,GBP,35.87,39.82149
42,HKD,3.407,3.6088293
42,JPY,0.2364,0.2445434
42,KRW,0.02162,0.023445714
42,USD,27.4,29.02424
43,AUD,19.29,20.16173
43,CAD,21.98,22.200167
43,EUR,32.58,32.55312
43,GBP,37.25,38.05812
43,HKD,3.703,3.7505295
43,JPY,0.2687,0.26816806
43,KRW,0.02343,0.023353573
43,USD,29.63,29.942482
44,AUD,21.35,21.075384
44,CAD,21.94,22.09533
44,EUR,32.99,32.94386
44,GBP,37.73,38.11314
44,HKD,3.445,3.487225
44,JPY,0.2502,0.26111242
44,KRW,0.02339,0.024820402
44,USD,27.55,27.609566
45,AUD,21.7,20.989342
45,CAD,21.82,21.385271
45,EUR,33.47,32.448315
45,GBP,38.4,37.0889
45,HKD,3.495,3.501944
45,JPY,0.2588,0.257689
45,KRW,0.02386,0.023286294
45,USD,27.91,27.811033
46,AUD,21.36,20.93004
46,CAD,22.21,21.489273
46,EUR,33.02,32.3007
46,GBP,37.81,37.378605
46,HKD,3.441,3.4558578
46,JPY,0.2472,0.2532758
46,KRW,0.02347,0.02364653
46,USD,27.53,27.457771
47,AUD,20.29,19.54446
47,CAD,22.47,21.824207
47,EUR,32.77,31.70122
47,GBP,38.2,37.06529
47,HKD,3.74,3.6685817
47,JPY,0.2693,0.26251492
47,KRW,0.02411,0.02344937
47,USD,30.1,29.086653
48,AUD,20.68,20.686852
48,CAD,22.78,22.45844
48,EUR,30.62,31.376375
48,GBP,35.69,37.081696
48,HKD,3.612,3.5912561
48,JPY,0.2121,0.24977693
48,KRW,0.02157,0.024469642
48,USD,29.18,28.705536
49,AUD,20.43,20.702879
49,CAD,22.06,22.683575
49,EUR,31.61,31.571108
49,GBP,36.54,36.579033
49,HKD,3.795,3.8319771
49,JPY,0.2143,0.23581046
49,KRW,0.02181,0.021056345
49,USD,30.315,30.653044
50,AUD,20.46,21.240046
50,CAD,22.0,22.474976
50,EUR,32.27,33.364597
50,GBP,37.31,39.11665
50,HKD,3.445,3.5275817
50,JPY,0.2415,0.24559788
50,KRW,0.02289,0.023865584
50,USD,27.58,28.151457
51,AUD,20.16,20.153917
51,CAD,21.35,21.822475
51,EUR,33.2,31.42399
51,GBP,36.08,37.265038
51,HKD,3.616,3.5003846
51,JPY,0.2676,0.24371092
51,KRW,0.02316,0.022172133
51,USD,28.84,27.747982
52,AUD,19.99,20.352081
52,CAD,21.36,21.002804
52,EUR,31.84,32.214878
52,GBP,37.08,36.758755
52,HKD,3.405,3.4495053
52,JPY,0.2424,0.25565696
52,KRW,0.02185,0.02384038
52,USD,27.305,27.329054
53,AUD,20.09,19.814894
53,CAD,22.08,21.75264
53,EUR,33.11,31.51343
53,GBP,37.27,36.313175
53,HKD,3.76,3.7820263
53,JPY,0.2172,0.24279544
53,KRW,0.02127,0.02048534
53,USD,30.345,30.161676
54,AUD,20.45,20.689783
54,CAD,22.8,22.948723
54,EUR,33.16,33.539043
54,GBP,36.94,37.09042
54,HKD,3.803,3.8180213
54,JPY,0.2803,0.27598017
54,KRW,0.02404,0.022942897
54,USD,30.65,30.6849
55,AUD,20.26,21.298418
55,CAD,22.54,22.852716
55,EUR,32.29,31.5628
55,GBP,37.36,37.70995
55,HKD,3.763,3.538659
55,JPY,0.2109,0.24295846
55,KRW,0.02205,0.023313597
55,USD,30.32,28.378733
56,AUD,21.22,21.469217
56,CAD,21.7,22.337961
56,EUR,33.33,33.32319
56,GBP,37.58,38.009544
56,HKD,3.501,3.5539854
56,JPY,0.2606,0.23627329
56,KRW,0.0237,0.023349768
56,USD,27.95,28.353268
57,AUD,20.49,20.548632
57,CAD,23.13,22.412725
57,EUR,33.61,32.21689
57,GBP,39.21,37.71521
57,HKD,3.832,3.8261733
57,JPY,0.2145,0.24323854
57,KRW,0.0225,0.022046018
