id,Currency,Actual,Pred
0,AUD,20.56,21.011806
0,CAD,21.98,22.38095
0,EUR,32.29,32.887
0,GBP,37.39,37.056118
0,HKD,3.422,3.6049078
0,JPY,0.2433,0.25491574
0,KRW,0.02286,0.024231553
0,USD,27.38,29.102655
1,AUD,19.45,20.939386
1,CAD,21.26,22.26109
1,EUR,30.66,33.301395
1,GBP,35.78,38.96639
1,HKD,3.404,3.4790373
1,JPY,0.2356,0.26246136
1,KRW,0.02181,0.021694161
1,USD,27.36,28.163969
2,AUD,20.59,21.473295
2,CAD,22.04,22.65362
2,EUR,31.64,33.509758
2,GBP,37.15,39.094776
2,HKD,3.42,3.4846244
2,JPY,0.2355,0.26031008
2,KRW,0.02206,0.022106044
2,USD,27.41,28.19203
3,AUD,20.66,21.16719
3,CAD,22.83,22.065239
3,EUR,33.44,34.086895
3,GBP,37.47,38.845604
3,HKD,3.803,3.533242
3,JPY,0.2776,0.25627655
3,KRW,0.02423,0.02335941
3,USD,30.595,28.544964
4,AUD,20.12,20.415024
4,CAD,22.07,22.70532
4,EUR,31.84,32.86787
4,GBP,36.2,37.665
4,HKD,3.783,3.8146281
4,JPY,0.2239,0.2791177
4,KRW,0.02218,0.02310548
4,USD,30.31,30.75422
5,AUD,20.54,20.920113
5,CAD,23.29,23.176062
5,EUR,33.77,33.78169
5,GBP,39.18,38.21454
5,HKD,3.886,3.8699207
5,JPY,0.2115,0.2719944
5,KRW,0.02274,0.025462955
5,USD,31.11,31.178066
6,AUD,20.24,20.771944
6,CAD,23.01,23.078833
6,EUR,33.22,33.397354
6,GBP,38.36,37.730625
6,HKD,3.81,3.8388183
6,JPY,0.2064,0.26580235
6,KRW,0.022,0.024040133
6,USD,30.67,30.919172
7,AUD,20.33,22.111797
7,CAD,21.99,22.587873
7,EUR,31.41,33.940388
7,GBP,36.85,39.55069
7,HKD,3.423,3.5233505
7,JPY,0.2347,0.26288408
7,KRW,0.02181,0.0230164
7,USD,27.46,28.395021
8,AUD,20.56,21.264107
8,CAD,22.53,22.970602
8,EUR,30.75,33.174294
8,GBP,35.86,38.888565
8,HKD,3.607,3.6216705
8,JPY,0.2231,0.26905078
8,KRW,0.02165,0.021349944
8,USD,29.14,29.241972
9,AUD,20.08,20.57231
9,CAD,22.42,22.904825
9,EUR,32.09,32.97652
9,GBP,37.0,37.800602
9,HKD,3.762,3.7965164
9,JPY,0.2114,0.28118894
9,KRW,0.02188,0.022634737
9,USD,30.325,30.571018
10,AUD,20.46,21.367203
10,CAD,21.88,22.418697
10,EUR,32.18,33.537823
10,GBP,37.55,38.839005
10,HKD,3.448,3.5218453
10,JPY,0.2441,0.2597812
10,KRW,0.02263,0.023376912
10,USD,27.6,28.416674
11,AUD,19.41,20.37184
11,CAD,21.26,22.524181
11,EUR,30.48,32.801064
11,GBP,36.28,39.11175
11,HKD,3.392,3.7061203
11,JPY,0.2297,0.27402043
11,KRW,0.02126,0.022484027
11,USD,27.285,29.83065
12,AUD,20.71,21.012962
12,CAD,22.11,22.849829
12,EUR,31.96,33.420456
12,GBP,35.81,39.044098
12,HKD,3.719,3.6750576
12,JPY,0.2272,0.27363914
12,KRW,0.02276,0.021382041
12,USD,29.865,29.650711
13,AUD,19.92,20.384874
13,CAD,22.06,22.551203
13,EUR,32.41,32.92074
13,GBP,36.64,37.445908
13,HKD,3.722,3.7686958
13,JPY,0.2212,0.26890832
13,KRW,0.02136,0.024508566
13,USD,30.045,30.392054
14,AUD,19.49,20.670662
14,CAD,21.22,22.137527
14,EUR,30.62,32.793125
14,GBP,35.77,38.006077
14,HKD,3.404,3.5287373
14,JPY,0.2351,0.2574782
14,KRW,0.0217,0.022591338
14,USD,27.375,28.538225
15,AUD,20.47,20.716728
15,CAD,22.06,22.830303
15,EUR,31.78,33.487316
15,GBP,36.71,39.12977
15,HKD,3.784,3.7457356
15,JPY,0.2162,0.27494615
15,KRW,0.02169,0.023595989
15,USD,30.225,30.173029
16,AUD,20.45,20.603525
16,CAD,22.68,22.56384
16,EUR,30.27,31.93634
16,GBP,35.73,36.481987
16,HKD,3.629,3.7356234
16,JPY,0.2204,0.25420657
16,KRW,0.02161,0.024388552
16,USD,29.315,30.086687
17,AUD,19.58,20.949358
17,CAD,21.23,22.364573
17,EUR,30.39,32.489006
17,GBP,36.18,37.495667
17,HKD,3.386,3.5395055
17,JPY,0.2287,0.25969878
17,KRW,0.02134,0.022964314
17,USD,27.215,28.567217
18,AUD,20.53,20.814594
18,CAD,22.46,22.747614
18,EUR,32.67,33.323795
18,GBP,38.04,39.04927
18,HKD,3.706,3.701976
18,JPY,0.2655,0.27609167
18,KRW,0.0242,0.022598512
18,USD,29.68,29.801462
19,AUD,19.89,20.917261
19,CAD,22.36,22.041006
19,EUR,32.69,33.840656
19,GBP,38.58,37.99509
19,HKD,3.739,3.639171
19,JPY,0.2693,0.2607163
19,KRW,0.02361,0.025227658
19,USD,29.86,29.430964
20,AUD,19.77,20.563526
20,CAD,22.71,23.071678
20,EUR,30.34,32.835506
20,GBP,34.85,38.436646
