id,Currency,Actual,Pred
0,AUD,20.56,21.740088
0,CAD,21.98,21.734947
0,EUR,32.29,31.93269
0,GBP,37.39,37.09533
0,HKD,3.422,3.3870525
0,JPY,0.2433,0.23498516
0,KRW,0.02286,0.016563144
0,USD,27.38,27.133785
1,AUD,19.45,19.28176
1,CAD,21.26,21.370155
1,EUR,30.66,30.929785
1,GBP,35.78,36.157322
1,HKD,3.404,3.4134536
1,JPY,0.2356,0.23725122
1,KRW,0.02181,0.02159999
1,USD,27.36,27.43304
2,AUD,20.59,20.54959
2,CAD,22.04,21.974884
2,EUR,31.64,31.4855
2,GBP,37.15,36.994236
2,HKD,3.42,3.425311
2,JPY,0.2355,0.23345059
2,KRW,0.02206,0.020915402
2,USD,27.41,27.440212
3,AUD,20.66,20.85257
3,CAD,22.83,21.818722
3,EUR,33.44,33.28481
3,GBP,37.47,37.49051
3,HKD,3.803,3.5557878
3,JPY,0.2776,0.26330262
3,KRW,0.02423,0.02223327
3,USD,30.595,28.336542
4,AUD,20.12,19.427856
4,CAD,22.07,22.048748
4,EUR,31.84,31.63674
4,GBP,36.2,36.161194
4,HKD,3.783,3.784576
4,JPY,0.2239,0.22901973
4,KRW,0.02218,0.017149344
4,USD,30.31,30.355637
5,AUD,20.54,20.78815
5,CAD,23.29,23.290182
5,EUR,33.77,33.798534
5,GBP,39.18,39.261574
5,HKD,3.886,3.870688
5,JPY,0.2115,0.2122545
5,KRW,0.02274,0.022015158
5,USD,31.11,31.034983
6,AUD,20.24,20.439297
6,CAD,23.01,23.184792
6,EUR,33.22,33.254116
6,GBP,38.36,38.487293
6,HKD,3.81,3.8132632
6,JPY,0.2064,0.21184027
6,KRW,0.022,0.019715881
6,USD,30.67,30.710888
7,AUD,20.33,21.795004
7,CAD,21.99,22.194258
7,EUR,31.41,33.224583
7,GBP,36.85,38.177814
7,HKD,3.423,3.4897912
7,JPY,0.2347,0.25524566
7,KRW,0.02181,0.019915467
7,USD,27.46,27.872936
8,AUD,20.56,20.349747
8,CAD,22.53,22.950066
