Date,現鈔買入,現鈔賣出,即期買入,即期賣出
2019-09-06,20.96,21.74,21.23,21.46
2019-09-05,20.92,21.7,21.19,21.42
2019-09-04,20.88,21.66,21.15,21.38
2019-09-03,20.73,21.51,21.0,21.23
2019-09-02,20.73,21.51,21.0,21.23
2019-08-30,20.71,21.49,20.98,21.21
2019-08-29,20.79,21.57,21.06,21.29
2019-08-28,20.8,21.58,21.07,21.3
2019-08-27,20.82,21.6,21.09,21.32
2019-08-26,20.82,21.6,21.09,21.32
2019-08-23,20.81,21.59,21.08,21.31
2019-08-22,20.87,21.65,21.14,21.37
2019-08-21,20.87,21.65,21.14,21.37
2019-08-20,20.9,21.68,21.17,21.4
2019-08-19,20.85,21.63,21.12,21.35
2019-08-16,20.87,21.65,21.14,21.37
2019-08-15,20.87,21.65,21.14,21.37
2019-08-14,20.9,21.68,21.17,21.4
2019-08-13,20.91,21.69,21.18,21.41
2019-08-12,20.89,21.67,21.16,21.39
2019-08-09,20.95,21.73,21.22,21.45
2019-08-07,20.77,21.55,21.04,21.27
2019-08-06,21.01,21.79,21.28,21.51
2019-08-05,20.99,21.77,21.26,21.49
2019-08-02,20.97,21.75,21.24,21.47
2019-08-01,20.95,21.73,21.22,21.45
2019-07-31,21.03,21.81,21.3,21.53
2019-07-30,21.04,21.82,21.31,21.54
2019-07-29,21.1,21.88,21.37,21.6
2019-07-26,21.15,21.93,21.42,21.65
2019-07-25,21.26,22.04,21.53,21.76
2019-07-24,21.31,22.09,21.58,21.81
2019-07-23,21.44,22.22,21.71,21.94
2019-07-22,21.49,22.27,21.76,21.99
2019-07-19,21.54,22.32,21.81,22.04
2019-07-18,21.46,22.24,21.73,21.96
2019-07-17,21.39,22.17,21.66,21.89
2019-07-16,21.43,22.21,21.7,21.93
2019-07-15,21.45,22.23,21.72,21.95
2019-07-12,21.36,22.14,21.63,21.86
2019-07-11,21.25,22.03,21.52,21.75
2019-07-10,21.13,21.91,21.4,21.63
2019-07-09,21.26,22.04,21.53,21.76
2019-07-08,21.42,22.2,21.69,21.92
2019-07-05,21.44,22.22,21.71,21.94
2019-07-04,21.45,22.23,21.72,21.95
2019-07-03,21.38,22.16,21.65,21.88
2019-07-02,21.29,22.07,21.56,21.79
2019-07-01,21.29,22.07,21.56,21.79
2019-06-28,21.41,22.19,21.68,21.91
2019-06-27,21.36,22.14,21.63,21.86
2019-06-26,21.36,22.14,21.63,21.86
2019-06-25,21.25,22.03,21.52,21.75
2019-06-24,21.22,22.0,21.49,21.72
2019-06-21,21.13,21.91,21.4,21.63
2019-06-20,21.16,21.94,21.43,21.66
2019-06-19,21.16,21.94,21.43,21.66
2019-06-18,21.15,21.93,21.42,21.65
2019-06-17,21.27,22.05,21.54,21.77
2019-06-14,21.36,22.14,21.63,21.86
2019-06-13,21.39,22.17,21.66,21.89
2019-06-12,21.47,22.25,21.74,21.97
2019-06-11,21.47,22.25,21.74,21.97
2019-06-10,21.5,22.28,21.77,22.0
2019-06-06,21.51,22.29,21.78,22.01
2019-06-05,21.58,22.36,21.85,22.08
2019-06-04,21.56,22.34,21.83,22.06
2019-06-03,21.49,22.27,21.76,21.99
2019-05-31,21.49,22.27,21.76,21.99
2019-05-30,21.52,22.3,21.79,22.02
2019-05-29,21.45,22.23,21.72,21.95
2019-05-28,21.4,22.18,21.67,21.9
2019-05-27,21.39,22.17,21.66,21.89
2019-05-24,21.36,22.14,21.63,21.86
2019-05-23,21.28,22.06,21.55,21.78
2019-05-22,21.31,22.09,21.58,21.81
2019-05-21,21.25,22.03,21.52,21.75
2019-05-20,21.37,22.15,21.64,21.87
2019-05-17,21.16,21.94,21.43,21.66
2019-05-16,21.17,21.95,21.44,21.67
2019-05-15,21.15,21.93,21.42,21.65
2019-05-14,21.23,22.01,21.5,21.73
2019-05-13,21.28,22.06,21.55,21.78
2019-05-10,21.26,22.04,21.53,21.76
2019-05-09,21.19,21.97,21.46,21.69
2019-05-08,21.32,22.1,21.59,21.82
2019-05-07,21.33,22.11,21.6,21.83
2019-05-06,21.23,22.01,21.5,21.73
2019-05-03,21.24,22.02,21.51,21.74
2019-05-02,21.32,22.1,21.59,21.82
2019-04-30,21.38,22.16,21.65,21.88
2019-04-29,21.39,22.17,21.66,21.89
2019-04-26,21.34,22.12,21.61,21.84
2019-04-25,21.28,22.06,21.55,21.78
2019-04-24,21.35,22.13,21.62,21.85
2019-04-23,21.55,22.33,21.82,22.05
2019-04-22,21.64,22.42,21.91,22.14
2019-04-19,21.67,22.45,21.94,22.17
2019-04-18,21.71,22.49,21.98,22.21
2019-04-17,21.82,22.6,22.09,22.32
2019-04-16,21.68,22.46,21.95,22.18
2019-04-15,21.74,22.52,22.01,22.24
2019-04-12,21.61,22.39,21.88,22.11
2019-04-11,21.7,22.48,21.97,22.2
2019-04-10,21.66,22.44,21.93,22.16
2019-04-09,21.64,22.42,21.91,22.14
2019-04-08,21.51,22.29,21.78,22.01
2019-04-03,21.55,22.33,21.82,22.05
2019-04-02,21.43,22.21,21.7,21.93
2019-04-01,21.57,22.35,21.84,22.07
2019-03-29,21.47,22.25,21.74,21.97
2019-03-28,21.49,22.27,21.76,21.99
2019-03-27,21.5,22.28,21.77,22.0
2019-03-26,21.59,22.37,21.86,22.09
2019-03-25,21.45,22.23,21.72,21.95
2019-03-22,21.52,22.3,21.79,22.02
2019-03-21,21.63,22.41,21.9,22.13
2019-03-20,21.47,22.25,21.74,21.97
2019-03-19,21.48,22.26,21.75,21.98
2019-03-18,21.56,22.34,21.83,22.06
2019-03-15,21.51,22.29,21.78,22.01
2019-03-14,21.44,22.22,21.71,21.94
2019-03-13,21.41,22.19,21.68,21.91
2019-03-12,21.47,22.25,21.74,21.97
2019-03-11,21.4,22.18,21.67,21.9
2019-03-08,21.26,22.04,21.53,21.76
2019-03-07,21.34,22.12,21.61,21.84
2019-03-06,21.3,22.08,21.57,21.8
2019-03-05,21.46,22.24,21.73,21.96
2019-03-04,21.45,22.23,21.72,21.95
2019-02-27,21.71,22.49,21.98,22.21
2019-02-26,21.64,22.42,21.91,22.14
2019-02-25,21.66,22.44,21.93,22.16
2019-02-23,21.59,22.37,21.86,22.09
2019-02-22,21.54,22.32,21.81,22.04
2019-02-21,21.54,22.32,21.81,22.04
2019-02-20,21.69,22.47,21.96,22.19
2019-02-19,21.56,22.34,21.83,22.06
2019-02-18,21.66,22.44,21.93,22.16
2019-02-15,21.48,22.26,21.75,21.98
2019-02-14,21.59,22.37,21.86,22.09
2019-02-13,21.57,22.35,21.84,22.07
2019-02-12,21.45,22.23,21.72,21.95
2019-02-11,21.48,22.26,21.75,21.98
2019-02-01,21.89,22.67,22.16,22.39
2019-01-31,21.95,22.73,22.22,22.45
2019-01-30,21.75,22.53,22.02,22.25
2019-01-29,21.67,22.45,21.94,22.17
2019-01-28,21.74,22.52,22.01,22.24
2019-01-25,21.5,22.28,21.77,22.0
2019-01-24,21.53,22.31,21.8,22.03
2019-01-23,21.65,22.43,21.92,22.15
2019-01-22,21.63,22.41,21.9,22.13
2019-01-21,21.74,22.52,22.01,22.24
2019-01-19,21.72,22.5,21.99,22.22
2019-01-18,21.78,22.56,22.05,22.28
2019-01-17,21.7,22.48,21.97,22.2
2019-01-16,21.83,22.61,22.1,22.33
2019-01-15,21.86,22.64,22.13,22.36
2019-01-14,21.78,22.56,22.05,22.28
2019-01-11,21.83,22.61,22.1,22.33
2019-01-10,21.69,22.47,21.96,22.19
2019-01-09,21.65,22.43,21.92,22.15
2019-01-08,21.58,22.36,21.85,22.08
2019-01-07,21.6,22.38,21.87,22.1
2019-01-04,21.29,22.07,21.56,21.79
2019-01-03,21.11,21.89,21.38,21.61
2019-01-02,21.27,22.05,21.54,21.77
2018-12-28,21.28,22.06,21.55,21.78
2018-12-27,21.3,22.08,21.57,21.8
2018-12-26,21.35,22.13,21.62,21.85
2018-12-25,21.29,22.07,21.56,21.79
2018-12-24,21.37,22.15,21.64,21.87
2018-12-22,21.38,22.16,21.65,21.88
2018-12-21,21.52,22.3,21.79,22.02
2018-12-20,21.53,22.31,21.8,22.03
2018-12-19,21.77,22.55,22.04,22.27
2018-12-18,21.79,22.57,22.06,22.29
2018-12-17,21.77,22.55,22.04,22.27
2018-12-14,21.76,22.54,22.03,22.26
2018-12-13,21.95,22.73,22.22,22.45
2018-12-12,21.87,22.65,22.14,22.37
2018-12-11,21.85,22.63,22.12,22.35
2018-12-10,21.9,22.68,22.17,22.4
2018-12-07,21.84,22.62,22.11,22.34
2018-12-06,21.92,22.7,22.19,22.42
2018-12-05,22.09,22.87,22.36,22.59
2018-12-04,22.27,23.05,22.54,22.77
2018-12-03,22.3,23.08,22.57,22.8
2018-11-30,22.16,22.94,22.43,22.66
2018-11-29,22.2,22.98,22.47,22.7
2018-11-28,21.96,22.74,22.23,22.46
2018-11-27,21.96,22.74,22.23,22.46
2018-11-26,22.04,22.82,22.31,22.54
2018-11-23,22.0,22.78,22.27,22.5
2018-11-22,21.97,22.75,22.24,22.47
2018-11-21,21.95,22.73,22.22,22.45
2018-11-20,22.14,22.92,22.41,22.64
2018-11-19,22.21,22.99,22.48,22.71
2018-11-16,22.07,22.85,22.34,22.57
2018-11-15,22.09,22.87,22.36,22.59
2018-11-14,21.92,22.7,22.19,22.42
2018-11-13,21.89,22.67,22.16,22.39
2018-11-12,21.84,22.62,22.11,22.34
2018-11-09,21.92,22.7,22.19,22.42
2018-11-08,22.01,22.79,22.28,22.51
2018-11-07,21.92,22.7,22.19,22.42
2018-11-06,21.84,22.62,22.11,22.34
2018-11-05,21.75,22.53,22.02,22.25
2018-11-02,21.84,22.62,22.11,22.34
2018-11-01,21.71,22.49,21.98,22.21
2018-10-31,21.54,22.32,21.81,22.04
2018-10-30,21.57,22.35,21.84,22.07
2018-10-29,21.64,22.42,21.91,22.14
2018-10-26,21.42,22.2,21.69,21.92
2018-10-25,21.5,22.28,21.77,22.0
2018-10-24,21.54,22.32,21.81,22.04
2018-10-23,21.55,22.33,21.82,22.05
2018-10-22,21.59,22.37,21.86,22.09
2018-10-19,21.62,22.4,21.89,22.12
2018-10-18,21.68,22.46,21.95,22.18
2018-10-17,21.63,22.41,21.9,22.13
2018-10-16,21.63,22.41,21.9,22.13
2018-10-15,21.65,22.43,21.92,22.15
2018-10-12,21.6,22.38,21.87,22.1
2018-10-11,21.65,22.43,21.92,22.15
2018-10-09,21.52,22.3,21.79,22.02
2018-10-08,21.41,22.19,21.68,21.91
2018-10-05,21.38,22.16,21.65,21.88
2018-10-04,21.42,22.2,21.69,21.92
2018-10-03,21.6,22.38,21.87,22.1
2018-10-02,21.67,22.45,21.94,22.17
2018-10-01,21.66,22.44,21.93,22.16
2018-09-28,21.65,22.43,21.92,22.15
2018-09-27,21.73,22.51,22.0,22.23
2018-09-26,21.88,22.66,22.15,22.38
2018-09-25,21.82,22.6,22.09,22.32
2018-09-21,21.99,22.77,22.26,22.49
2018-09-20,21.99,22.77,22.26,22.49
2018-09-19,21.91,22.69,22.18,22.41
2018-09-18,21.8,22.58,22.07,22.3
2018-09-17,21.69,22.47,21.96,22.19
2018-09-14,21.78,22.56,22.05,22.28
2018-09-13,21.76,22.54,22.03,22.26
2018-09-12,21.53,22.31,21.8,22.03
2018-09-11,21.56,22.34,21.83,22.06
2018-09-10,21.56,22.34,21.83,22.06
2018-09-07,21.63,22.41,21.9,22.13
2018-09-06,21.7,22.48,21.97,22.2
2018-09-05,21.67,22.45,21.94,22.17
2018-09-04,21.7,22.48,21.97,22.2
2018-09-03,21.73,22.51,22.0,22.23
2018-08-31,21.89,22.67,22.16,22.39
2018-08-30,21.98,22.76,22.25,22.48
2018-08-29,22.05,22.83,22.32,22.55
2018-08-28,22.17,22.95,22.44,22.67
2018-08-27,22.11,22.89,22.38,22.61
2018-08-24,22.01,22.79,22.28,22.51
2018-08-23,22.06,22.84,22.33,22.56
2018-08-22,22.17,22.95,22.44,22.67
2018-08-21,22.2,22.98,22.47,22.7
2018-08-20,22.11,22.89,22.38,22.61
2018-08-17,22.01,22.79,22.28,22.51
2018-08-16,22.01,22.79,22.28,22.51
2018-08-15,21.91,22.69,22.18,22.41
2018-08-14,22.01,22.79,22.28,22.51
2018-08-13,22.02,22.8,22.29,22.52
2018-08-10,22.05,22.83,22.32,22.55
2018-08-09,22.33,23.11,22.6,22.83
2018-08-08,22.35,23.13,22.62,22.85
2018-08-07,22.34,23.12,22.61,22.84
2018-08-06,22.26,23.04,22.53,22.76
2018-08-03,22.18,22.96,22.45,22.68
2018-08-02,22.24,23.02,22.51,22.74
2018-08-01,22.27,23.05,22.54,22.77
2018-07-31,22.32,23.1,22.59,22.82
2018-07-30,22.27,23.05,22.54,22.77
2018-07-27,22.21,22.99,22.48,22.71
2018-07-26,22.34,23.12,22.61,22.84
2018-07-25,22.28,23.06,22.55,22.78
2018-07-24,22.27,23.05,22.54,22.77
2018-07-23,22.34,23.12,22.61,22.84
2018-07-20,22.22,23.0,22.49,22.72
2018-07-19,22.19,22.97,22.46,22.69
2018-07-18,22.09,22.87,22.36,22.59
2018-07-17,22.25,23.03,22.52,22.75
2018-07-16,22.33,23.11,22.6,22.83
2018-07-13,22.18,22.96,22.45,22.68
2018-07-12,22.17,22.95,22.44,22.67
2018-07-11,22.21,22.99,22.48,22.71
2018-07-10,22.28,23.06,22.55,22.78
2018-07-09,22.29,23.07,22.56,22.79
2018-07-06,22.2,22.98,22.47,22.7
2018-07-05,22.15,22.93,22.42,22.65
2018-07-04,22.13,22.91,22.4,22.63
2018-07-03,22.2,22.98,22.47,22.7
2018-07-02,22.11,22.89,22.38,22.61
2018-06-29,22.19,22.85,22.38,22.61
2018-06-28,22.15,22.81,22.34,22.57
2018-06-27,22.16,22.82,22.35,22.58
2018-06-26,22.2,22.86,22.39,22.62
2018-06-25,22.28,22.94,22.47,22.7
2018-06-22,22.15,22.81,22.34,22.57
2018-06-21,22.01,22.67,22.2,22.43
2018-06-20,21.97,22.63,22.16,22.39
2018-06-19,21.95,22.61,22.14,22.37
2018-06-15,22.08,22.74,22.27,22.5
