Date,現鈔買入,現鈔賣出,即期買入,即期賣出
2019-09-06,23.17,24.08,23.56,23.78
2019-09-05,23.17,24.08,23.56,23.78
2019-09-04,23.05,23.96,23.44,23.66
2019-09-03,23.03,23.94,23.42,23.64
2019-09-02,23.05,23.96,23.44,23.66
2019-08-30,23.09,24.0,23.48,23.7
2019-08-29,23.14,24.05,23.53,23.75
2019-08-28,23.11,24.02,23.5,23.72
2019-08-27,23.23,24.14,23.62,23.84
2019-08-26,23.11,24.02,23.5,23.72
2019-08-23,23.07,23.98,23.46,23.68
2019-08-22,23.12,24.03,23.51,23.73
2019-08-21,23.06,23.97,23.45,23.67
2019-08-20,23.07,23.98,23.46,23.68
2019-08-19,23.12,24.03,23.51,23.73
2019-08-16,23.07,23.98,23.46,23.68
2019-08-15,23.1,24.01,23.49,23.71
2019-08-14,23.22,24.13,23.61,23.83
2019-08-13,23.27,24.18,23.66,23.88
2019-08-12,23.24,24.15,23.63,23.85
2019-08-09,23.21,24.12,23.6,23.82
2019-08-08,23.1,24.01,23.49,23.71
2019-08-07,23.18,24.09,23.57,23.79
2019-08-06,23.37,24.28,23.76,23.98
2019-08-05,23.39,24.3,23.78,24.0
2019-08-02,23.24,24.15,23.63,23.85
2019-08-01,23.08,23.99,23.47,23.69
2019-07-31,23.16,24.07,23.55,23.77
2019-07-30,23.09,24.0,23.48,23.7
2019-07-29,23.1,24.01,23.49,23.71
2019-07-26,23.09,24.0,23.48,23.7
2019-07-25,23.17,24.08,23.56,23.78
2019-07-24,23.16,24.07,23.55,23.77
2019-07-23,23.17,24.08,23.56,23.78
2019-07-22,23.32,24.23,23.71,23.93
2019-07-19,23.32,24.23,23.71,23.93
2019-07-18,23.3,24.21,23.69,23.91
2019-07-17,23.29,24.2,23.68,23.9
2019-07-16,23.26,24.17,23.65,23.87
2019-07-15,23.34,24.25,23.73,23.95
2019-07-12,23.36,24.27,23.75,23.97
2019-07-11,23.27,24.18,23.66,23.88
2019-07-10,23.22,24.13,23.61,23.83
2019-07-09,23.26,24.17,23.65,23.87
2019-07-08,23.36,24.27,23.75,23.97
2019-07-05,23.31,24.22,23.7,23.92
2019-07-04,23.27,24.18,23.66,23.88
2019-07-03,23.24,24.15,23.63,23.85
2019-07-02,23.17,24.08,23.56,23.78
2019-07-01,23.16,24.07,23.55,23.77
2019-06-28,23.23,24.14,23.62,23.84
2019-06-27,23.19,24.1,23.58,23.8
2019-06-26,23.16,24.07,23.55,23.77
2019-06-25,23.07,23.98,23.46,23.68
2019-06-24,23.07,23.98,23.46,23.68
2019-06-21,23.09,24.0,23.48,23.7
2019-06-20,23.08,23.99,23.47,23.69
2019-06-19,22.94,23.85,23.33,23.55
2019-06-18,22.99,23.9,23.38,23.6
2019-06-17,22.99,23.9,23.38,23.6
2019-06-14,23.13,24.04,23.52,23.74
2019-06-13,23.15,24.06,23.54,23.76
2019-06-12,23.16,24.07,23.55,23.77
2019-06-11,23.21,24.12,23.6,23.82
2019-06-10,23.19,24.1,23.58,23.8
2019-06-06,22.91,23.82,23.3,23.52
2019-06-05,22.96,23.87,23.35,23.57
2019-06-04,22.92,23.83,23.31,23.53
2019-06-03,22.81,23.72,23.2,23.42
2019-05-31,22.87,23.78,23.26,23.48
2019-05-30,22.91,23.82,23.3,23.52
2019-05-29,22.88,23.79,23.27,23.49
2019-05-28,22.92,23.83,23.31,23.53
2019-05-27,22.9,23.81,23.29,23.51
2019-05-24,22.93,23.84,23.32,23.54
2019-05-23,22.94,23.85,23.33,23.55
2019-05-22,23.04,23.95,23.43,23.65
2019-05-21,22.94,23.85,23.33,23.55
2019-05-20,22.88,23.79,23.27,23.49
2019-05-17,22.74,23.65,23.13,23.35
2019-05-16,22.71,23.62,23.1,23.32
2019-05-15,22.59,23.5,22.98,23.2
2019-05-14,22.61,23.52,23.0,23.22
2019-05-13,22.63,23.54,23.02,23.24
2019-05-10,22.5,23.41,22.89,23.11
2019-05-09,22.45,23.36,22.84,23.06
2019-05-08,22.47,23.38,22.86,23.08
2019-05-07,22.51,23.42,22.9,23.12
2019-05-06,22.45,23.36,22.84,23.06
2019-05-03,22.45,23.36,22.84,23.06
2019-05-02,22.5,23.41,22.89,23.11
2019-04-30,22.45,23.36,22.84,23.06
2019-04-29,22.44,23.35,22.83,23.05
2019-04-26,22.43,23.34,22.82,23.04
2019-04-25,22.39,23.3,22.78,23.0
2019-04-24,22.44,23.35,22.83,23.05
2019-04-23,22.57,23.48,22.96,23.18
2019-04-22,22.6,23.51,22.99,23.21
2019-04-19,22.56,23.47,22.95,23.17
2019-04-18,22.57,23.48,22.96,23.18
2019-04-17,22.66,23.57,23.05,23.27
2019-04-16,22.55,23.46,22.94,23.16
2019-04-15,22.65,23.56,23.04,23.26
2019-04-12,22.61,23.52,23.0,23.22
2019-04-11,22.61,23.52,23.0,23.22
2019-04-10,22.65,23.56,23.04,23.26
2019-04-09,22.69,23.6,23.08,23.3
2019-04-08,22.55,23.46,22.94,23.16
2019-04-03,22.66,23.57,23.05,23.27
2019-04-02,22.64,23.55,23.03,23.25
2019-04-01,22.58,23.49,22.97,23.19
2019-03-29,22.45,23.36,22.84,23.06
2019-03-28,22.49,23.4,22.88,23.1
2019-03-27,22.55,23.46,22.94,23.16
2019-03-26,22.52,23.43,22.91,23.13
2019-03-25,22.47,23.38,22.86,23.08
2019-03-22,22.56,23.47,22.95,23.17
2019-03-21,22.66,23.57,23.05,23.27
2019-03-20,22.62,23.53,23.01,23.23
2019-03-19,22.62,23.53,23.01,23.23
2019-03-18,22.66,23.57,23.05,23.27
2019-03-15,22.72,23.63,23.11,23.33
2019-03-14,22.7,23.61,23.09,23.31
2019-03-13,22.62,23.53,23.01,23.23
2019-03-12,22.56,23.47,22.95,23.17
2019-03-11,22.54,23.45,22.93,23.15
2019-03-08,22.48,23.39,22.87,23.09
2019-03-07,22.48,23.39,22.87,23.09
2019-03-06,22.6,23.51,22.99,23.21
2019-03-05,22.63,23.54,23.02,23.24
2019-03-04,22.68,23.59,23.07,23.29
2019-02-27,22.87,23.78,23.26,23.48
2019-02-26,22.81,23.72,23.2,23.42
2019-02-25,22.96,23.87,23.35,23.57
2019-02-23,22.98,23.89,23.37,23.59
