Date,現鈔買入,現鈔賣出,即期買入,即期賣出
2019-09-06,33.7,35.04,34.32,34.72
2019-09-05,33.71,35.05,34.33,34.73
2019-09-04,33.65,34.99,34.27,34.67
2019-09-03,33.56,34.9,34.18,34.58
2019-09-02,33.64,34.98,34.26,34.66
2019-08-30,33.83,35.17,34.45,34.85
2019-08-29,34.01,35.35,34.63,35.03
2019-08-28,34.03,35.37,34.65,35.05
2019-08-27,34.07,35.41,34.69,35.09
2019-08-26,34.11,35.45,34.73,35.13
2019-08-23,33.92,35.26,34.54,34.94
2019-08-22,34.03,35.37,34.65,35.05
2019-08-21,33.97,35.31,34.59,34.99
2019-08-20,33.95,35.29,34.57,34.97
2019-08-19,33.98,35.32,34.6,35.0
2019-08-16,33.95,35.29,34.57,34.97
2019-08-15,34.16,35.5,34.78,35.18
2019-08-14,34.29,35.63,34.91,35.31
2019-08-13,34.44,35.78,35.06,35.46
2019-08-12,34.25,35.59,34.87,35.27
2019-08-09,34.26,35.6,34.88,35.28
2019-08-08,34.35,35.69,34.97,35.37
2019-08-07,34.39,35.73,35.01,35.41
2019-08-06,34.5,35.84,35.12,35.52
2019-08-05,34.37,35.71,34.99,35.39
2019-08-02,34.05,35.39,34.67,35.07
2019-08-01,33.58,34.92,34.2,34.6
2019-07-31,33.86,35.2,34.48,34.88
2019-07-30,33.8,35.14,34.42,34.82
2019-07-29,33.76,35.1,34.38,34.78
2019-07-26,33.79,35.13,34.41,34.81
2019-07-25,33.76,35.1,34.38,34.78
2019-07-24,33.8,35.14,34.42,34.82
2019-07-23,33.97,35.31,34.59,34.99
2019-07-22,34.05,35.39,34.67,35.07
2019-07-19,34.15,35.49,34.77,35.17
2019-07-18,34.1,35.44,34.72,35.12
2019-07-17,34.01,35.35,34.63,35.03
2019-07-16,34.09,35.43,34.71,35.11
2019-07-15,34.2,35.54,34.82,35.22
2019-07-12,34.19,35.53,34.81,35.21
2019-07-11,34.17,35.51,34.79,35.19
2019-07-10,34.1,35.44,34.72,35.12
2019-07-09,34.11,35.45,34.73,35.13
2019-07-08,34.2,35.54,34.82,35.22
2019-07-05,34.22,35.56,34.84,35.24
2019-07-04,34.26,35.6,34.88,35.28
2019-07-03,34.28,35.62,34.9,35.3
2019-07-02,34.23,35.57,34.85,35.25
2019-07-01,34.26,35.6,34.88,35.28
