Date,現鈔買入,現鈔賣出,即期買入,即期賣出
2019-09-06,3.829,4.033,3.955,4.015
2019-09-05,3.832,4.036,3.958,4.018
2019-09-04,3.843,4.047,3.969,4.029
2019-09-03,3.849,4.053,3.975,4.035
2019-09-02,3.844,4.048,3.97,4.03
2019-08-30,3.845,4.049,3.971,4.031
2019-08-29,3.849,4.053,3.975,4.035
2019-08-28,3.847,4.051,3.973,4.033
2019-08-27,3.846,4.05,3.972,4.032
2019-08-26,3.848,4.052,3.974,4.034
2019-08-23,3.845,4.049,3.971,4.031
2019-08-22,3.844,4.048,3.97,4.03
2019-08-21,3.842,4.046,3.968,4.028
2019-08-20,3.846,4.05,3.972,4.032
2019-08-19,3.839,4.043,3.965,4.025
2019-08-16,3.843,4.047,3.969,4.029
2019-08-15,3.843,4.047,3.969,4.029
2019-08-14,3.846,4.05,3.972,4.032
2019-08-13,3.858,4.062,3.984,4.044
2019-08-12,3.846,4.05,3.972,4.032
2019-08-09,3.841,4.045,3.967,4.027
2019-08-08,3.843,4.047,3.969,4.029
2019-08-07,3.857,4.061,3.983,4.043
2019-08-06,3.864,4.068,3.99,4.05
2019-08-05,3.88,4.084,4.006,4.066
2019-08-02,3.854,4.058,3.98,4.04
2019-08-01,3.826,4.03,3.952,4.012
2019-07-31,3.816,4.02,3.942,4.002
2019-07-30,3.814,4.018,3.94,4.0
2019-07-29,3.822,4.026,3.948,4.008
2019-07-26,3.82,4.024,3.946,4.006
2019-07-25,3.819,4.023,3.945,4.005
2019-07-24,3.821,4.025,3.947,4.007
2019-07-23,3.813,4.029,3.949,4.009
2019-07-22,3.814,4.03,3.95,4.01
2019-07-19,3.81,4.026,3.946,4.006
2019-07-18,3.809,4.025,3.945,4.005
2019-07-17,3.81,4.026,3.946,4.006
2019-07-16,3.803,4.019,3.939,3.999
2019-07-15,3.798,4.014,3.934,3.994
2019-07-12,3.805,4.021,3.941,4.001
2019-07-11,3.801,4.017,3.937,3.997
2019-07-10,3.818,4.034,3.954,4.014
2019-07-09,3.823,4.039,3.959,4.019
2019-07-08,3.831,4.047,3.967,4.027
2019-07-05,3.825,4.041,3.961,4.021
2019-07-04,3.826,4.042,3.962,4.022
2019-07-03,3.824,4.04,3.96,4.02
2019-07-02,3.812,4.028,3.948,4.008
2019-07-01,3.801,4.017,3.937,3.997
2019-06-28,3.811,4.027,3.947,4.007
2019-06-27,3.811,4.027,3.947,4.007
2019-06-26,3.819,4.035,3.955,4.015
2019-06-25,3.815,4.031,3.951,4.011
2019-06-24,3.814,4.03,3.95,4.01
2019-06-21,3.817,4.033,3.953,4.013
2019-06-20,3.82,4.036,3.956,4.016
2019-06-19,3.838,4.054,3.974,4.034
2019-06-18,3.857,4.073,3.993,4.053
2019-06-17,3.858,4.074,3.994,4.054
2019-06-14,3.861,4.077,3.997,4.057
2019-06-13,3.858,4.074,3.994,4.054
2019-06-12,3.849,4.065,3.985,4.045
