Date,現鈔買入,現鈔賣出,即期買入,即期賣出
2019-09-06,0.2828,0.2956,0.2901,0.2941
2019-09-05,0.2844,0.2972,0.2917,0.2957
2019-09-04,0.2858,0.2986,0.2931,0.2971
2019-09-03,0.2872,0.3,0.2945,0.2985
2019-09-02,0.286,0.2988,0.2933,0.2973
2019-08-30,0.2854,0.2982,0.2927,0.2967
2019-08-29,0.2869,0.2997,0.2942,0.2982
2019-08-28,0.2879,0.3007,0.2952,0.2992
2019-08-27,0.2877,0.3005,0.295,0.299
2019-08-26,0.2878,0.3006,0.2951,0.2991
2019-08-23,0.285,0.2978,0.2923,0.2963
2019-08-22,0.2855,0.2983,0.2928,0.2968
2019-08-21,0.2851,0.2979,0.2924,0.2964
2019-08-20,0.2856,0.2984,0.2929,0.2969
2019-08-19,0.2853,0.2981,0.2926,0.2966
2019-08-16,0.2861,0.2989,0.2934,0.2974
2019-08-15,0.286,0.2988,0.2933,0.2973
2019-08-14,0.2858,0.2986,0.2931,0.2971
2019-08-13,0.2901,0.3029,0.2974,0.3014
2019-08-12,0.2884,0.3012,0.2957,0.2997
2019-08-09,0.2866,0.2994,0.2939,0.2979
2019-08-08,0.2861,0.2989,0.2934,0.2974
2019-08-07,0.2868,0.2996,0.2941,0.2981
2019-08-06,0.2869,0.2997,0.2942,0.2982
2019-08-05,0.2891,0.3019,0.2964,0.3004
2019-08-02,0.2842,0.297,0.2915,0.2955
2019-08-01,0.2764,0.2892,0.2837,0.2877
2019-07-31,0.2771,0.2899,0.2844,0.2884
2019-07-30,0.2766,0.2894,0.2839,0.2879
2019-07-29,0.2769,0.2897,0.2842,0.2882
2019-07-26,0.2768,0.2896,0.2841,0.2881
2019-07-25,0.2783,0.2911,0.2856,0.2896
2019-07-24,0.2784,0.2912,0.2857,0.2897
2019-07-23,0.2782,0.291,0.2855,0.2895
2019-07-22,0.2788,0.2916,0.2861,0.2901
2019-07-19,0.2791,0.2919,0.2864,0.2904
2019-07-18,0.279,0.2918,0.2863,0.2903
2019-07-17,0.2777,0.2905,0.285,0.289
2019-07-16,0.2779,0.2907,0.2852,0.2892
2019-07-15,0.2783,0.2911,0.2856,0.2896
2019-07-12,0.2775,0.2903,0.2848,0.2888
2019-07-11,0.2779,0.2907,0.2852,0.2892
2019-07-10,0.2765,0.2893,0.2838,0.2878
2019-07-09,0.2772,0.29,0.2845,0.2885
2019-07-08,0.2785,0.2913,0.2858,0.2898
2019-07-05,0.2785,0.2913,0.2858,0.2898
2019-07-04,0.279,0.2918,0.2863,0.2903
2019-07-03,0.2796,0.2924,0.2869,0.2909
2019-07-02,0.2775,0.2903,0.2848,0.2888
2019-07-01,0.2767,0.2895,0.284,0.288
2019-06-28,0.2793,0.2921,0.2866,0.2906
2019-06-27,0.2784,0.2912,0.2857,0.2897
2019-06-26,0.2805,0.2933,0.2878,0.2918
2019-06-25,0.2811,0.2939,0.2884,0.2924
2019-06-24,0.2802,0.293,0.2875,0.2915
2019-06-21,0.2802,0.293,0.2875,0.2915
2019-06-20,0.28,0.2928,0.2873,0.2913
2019-06-19,0.28,0.2928,0.2873,0.2913
2019-06-18,0.282,0.2948,0.2893,0.2933
2019-06-17,0.281,0.2938,0.2883,0.2923
2019-06-14,0.282,0.2948,0.2893,0.2933
2019-06-13,0.2815,0.2943,0.2888,0.2928
2019-06-12,0.2808,0.2936,0.2881,0.2921
2019-06-11,0.2801,0.2929,0.2874,0.2914
2019-06-10,0.28,0.2928,0.2873,0.2913
2019-06-06,0.2805,0.2933,0.2878,0.2918
2019-06-05,0.2806,0.2934,0.2879,0.2919
2019-06-04,0.282,0.2948,0.2893,0.2933
2019-06-03,0.2817,0.2945,0.289,0.293
2019-05-31,0.2812,0.294,0.2885,0.2925
2019-05-30,0.2787,0.2915,0.286,0.29
2019-05-29,0.2798,0.2926,0.2871,0.2911
2019-05-28,0.2784,0.2912,0.2857,0.2897
2019-05-27,0.2778,0.2906,0.2851,0.2891
2019-05-24,0.2782,0.291,0.2855,0.2895
2019-05-23,0.2767,0.2895,0.284,0.288
2019-05-22,0.2765,0.2893,0.2838,0.2878
2019-05-21,0.2764,0.2892,0.2837,0.2877
2019-05-20,0.2758,0.2886,0.2831,0.2871
2019-05-17,0.2759,0.2887,0.2832,0.2872
2019-05-16,0.2755,0.2883,0.2828,0.2868
2019-05-15,0.2748,0.2876,0.2821,0.2861
