Date,現鈔買入,現鈔賣出,即期買入,即期賣出
2019-09-06,0.0244,0.0283,-,-
2019-09-05,0.0243,0.0282,-,-
2019-09-04,0.02428,0.02818,-,-
2019-09-03,0.02411,0.02801,-,-
2019-09-02,0.02416,0.02806,-,-
2019-08-30,0.02424,0.02814,-,-
2019-08-29,0.02417,0.02807,-,-
2019-08-28,0.02414,0.02804,-,-
2019-08-27,0.02416,0.02806,-,-
2019-08-26,0.02411,0.02801,-,-
2019-08-23,0.02417,0.02807,-,-
2019-08-22,0.02427,0.02817,-,-
2019-08-21,0.02433,0.02823,-,-
2019-08-20,0.02425,0.02815,-,-
2019-08-19,0.02416,0.02806,-,-
2019-08-16,0.02416,0.02806,-,-
2019-08-15,0.02408,0.02798,-,-
2019-08-14,0.02416,0.02806,-,-
2019-08-13,0.02401,0.02791,-,-
2019-08-12,0.02403,0.02793,-,-
2019-08-09,0.02416,0.02806,-,-
2019-08-08,0.02419,0.02809,-,-
2019-08-07,0.02416,0.02806,-,-
2019-08-06,0.02418,0.02808,-,-
2019-08-05,0.02432,0.02822,-,-
2019-08-02,0.02441,0.02831,-,-
2019-08-01,0.02447,0.02837,-,-
2019-07-31,0.02456,0.02846,-,-
2019-07-30,0.02456,0.02846,-,-
2019-07-29,0.02452,0.02842,-,-
2019-07-26,0.02453,0.02843,-,-
2019-07-25,0.02456,0.02846,-,-
2019-07-24,0.02465,0.02855,-,-
2019-07-23,0.02463,0.02853,-,-
2019-07-22,0.02466,0.02856,-,-
2019-07-19,0.02469,0.02859,-,-
2019-07-18,0.02464,0.02854,-,-
2019-07-17,0.02457,0.02847,-,-
2019-07-16,0.02461,0.02851,-,-
2019-07-15,0.02461,0.02851,-,-
2019-07-12,0.02461,0.02851,-,-
2019-07-11,0.02466,0.02856,-,-
2019-07-10,0.02461,0.02851,-,-
2019-07-09,0.02461,0.02851,-,-
2019-07-08,0.02469,0.02859,-,-
2019-07-05,0.02481,0.02871,-,-
2019-07-04,0.02482,0.02872,-,-
2019-07-03,0.02484,0.02874,-,-
2019-07-02,0.02486,0.02876,-,-
2019-07-01,0.02497,0.02887,-,-
2019-06-28,0.02516,0.02906,-,-
2019-06-27,0.02512,0.02902,-,-
2019-06-26,0.02517,0.02907,-,-
2019-06-25,0.02514,0.02904,-,-
2019-06-24,0.0251,0.029,-,-
2019-06-21,0.025,0.0289,-,-
2019-06-20,0.02514,0.02904,-,-
2019-06-19,0.02491,0.02881,-,-
